"X";"Y";"Z";"Label"
26750;-14.9819552102639;16.500675;NA
26750;-14.9819552102639;6.50067500000001;NA
26750;0;6.50067500000001;"rg"
26750;0;0;NA
26750;68.3041876727471;0;NA
26750;68.3041876727471;6.50067500000001;"rd"
26750;183.187452015635;6.50067500000001;NA
26750;183.187452015635;16.500675;NA
999.999;999.999;999.999;NA
34500;-14.9819552102639;19.7024911151199;NA
34500;-14.9819552102639;9.70249111511986;NA
34500;0;9.70249111511986;"rg"
34500;0;3.20181611511985;NA
34500;68.3041876727471;3.20181611511985;NA
34500;68.3041876727471;9.70249111511986;"rd"
34500;183.187452015635;9.70249111511986;NA
34500;183.187452015635;19.7024911151199;NA
999.999;999.999;999.999;NA
55900;-14.9819552102639;28.5436349684831;NA
55900;-14.9819552102639;18.5436349684831;NA
55900;0;18.5436349684831;"rg"
55900;0;12.042959968483;NA
55900;68.3041876727471;12.042959968483;NA
55900;68.3041876727471;18.5436349684831;"rd"
55900;183.187452015635;18.5436349684831;NA
55900;183.187452015635;28.5436349684831;NA
999.999;999.999;999.999;NA
