"P0_Reach_1" "P1_Reach_1"
1 -1
1 -0.97979797979798
1 -0.95959595959596
1 -0.939393939393939
1 -0.919191919191919
1 -0.898989898989899
1 -0.878787878787879
1 -0.858585858585859
1 -0.838383838383838
1 -0.818181818181818
1 -0.797979797979798
1 -0.777777777777778
1 -0.757575757575758
1 -0.737373737373737
1 -0.717171717171717
1 -0.696969696969697
1 -0.676767676767677
1 -0.656565656565657
1 -0.636363636363636
1 -0.616161616161616
1 -0.595959595959596
1 -0.575757575757576
1 -0.555555555555556
1 -0.535353535353535
1 -0.515151515151515
1 -0.494949494949495
1 -0.474747474747475
1 -0.454545454545454
1 -0.434343434343434
1 -0.414141414141414
1 -0.393939393939394
1 -0.373737373737374
1 -0.353535353535353
1 -0.333333333333333
1 -0.313131313131313
1 -0.292929292929293
1 -0.272727272727273
1 -0.252525252525252
1 -0.232323232323232
1 -0.212121212121212
1 -0.191919191919192
1 -0.171717171717172
1 -0.151515151515151
1 -0.131313131313131
1 -0.111111111111111
1 -0.0909090909090908
1 -0.0707070707070706
1 -0.0505050505050504
1 -0.0303030303030303
1 -0.0101010101010101
1 0.0101010101010102
1 0.0303030303030305
1 0.0505050505050506
1 0.0707070707070707
1 0.0909090909090911
1 0.111111111111111
1 0.131313131313131
1 0.151515151515152
1 0.171717171717172
1 0.191919191919192
1 0.212121212121212
1 0.232323232323232
1 0.252525252525253
1 0.272727272727273
1 0.292929292929293
1 0.313131313131313
1 0.333333333333333
1 0.353535353535354
1 0.373737373737374
1 0.393939393939394
1 0.414141414141414
1 0.434343434343434
1 0.454545454545455
1 0.474747474747475
1 0.494949494949495
1 0.515151515151515
1 0.535353535353535
1 0.555555555555556
1 0.575757575757576
1 0.595959595959596
1 0.616161616161616
1 0.636363636363636
1 0.656565656565657
1 0.676767676767677
1 0.696969696969697
1 0.717171717171717
1 0.737373737373737
1 0.757575757575758
1 0.777777777777778
1 0.797979797979798
1 0.818181818181818
1 0.838383838383838
1 0.858585858585859
1 0.878787878787879
1 0.898989898989899
1 0.919191919191919
1 0.939393939393939
1 0.95959595959596
1 0.97979797979798
1 1
