"X2" "X3" "X4" "X5" "X6" "X7" "X8" "X9"
1 -1 1 -1 0 0 0 0
1 -0.979511986910436 0.939165598751845 -0.880198611511959 0 0 0 0
1 -0.959023973820872 0.879590473544765 -0.766564602909224 0 0 0 0
1 -0.938535960731308 0.82127462437876 -0.658968973871734 0 0 0 0
1 -0.918047947641744 0.764218051253829 -0.557282724079422 0 0 0 0
1 -0.89755993455218 0.708420754169972 -0.461376853212223 0 0 0 0
1 -0.877071921462616 0.653882733127189 -0.371122360950074 0 0 0 0
1 -0.856583908373053 0.600603988125481 -0.28639024697291 0 0 0 0
1 -0.836095895283489 0.548584519164848 -0.207051510960666 0 0 0 0
1 -0.815607882193925 0.497824326245288 -0.132977152593279 0 0 0 0
1 -0.795119869104361 0.448323409366804 -0.0640381715506826 0 0 0 0
1 -0.774631856014797 0.400081768529393 -0.000105567512812839 0 0 0 0
1 -0.754143842925233 0.353099403733058 0.0589496598403945 0 0 0 0
1 -0.733655829835669 0.307376314977796 0.113256510829004 0 0 0 0
1 -0.713167816746105 0.262912502263609 0.162943985773081 0 0 0 0
1 -0.692679803656541 0.219707965590497 0.208141084992688 0 0 0 0
1 -0.672191790566977 0.177762704958459 0.248976808807892 0 0 0 0
1 -0.651703777477413 0.137076720367495 0.285580157538756 0 0 0 0
1 -0.63121576438785 0.0976500118176058 0.318080131505345 0 0 0 0
1 -0.610727751298286 0.0594825793087909 0.346605731027724 0 0 0 0
1 -0.590239738208722 0.0225744228410504 0.371285956425957 0 0 0 0
1 -0.569751725119158 -0.0130744575856154 0.392249808020108 0 0 0 0
1 -0.549263712029594 -0.0474640619712072 0.409626286130242 0 0 0 0
1 -0.52877569894003 -0.0805943903157244 0.423544391076424 0 0 0 0
1 -0.508287685850466 -0.112465442619167 0.434133123178719 0 0 0 0
1 -0.487799672760902 -0.143077218881535 0.441521482757189 0 0 0 0
1 -0.467311659671338 -0.172429719102829 0.445838470131902 0 0 0 0
1 -0.446823646581774 -0.200522943283048 0.44721308562292 0 0 0 0
1 -0.42633563349221 -0.227356891422194 0.445774329550308 0 0 0 0
1 -0.405847620402646 -0.252931563520264 0.441651202234131 0 0 0 0
1 -0.385359607313082 -0.27724695957726 0.434972703994454 0 0 0 0
1 -0.364871594223519 -0.300303079593182 0.42586783515134 0 0 0 0
1 -0.344383581133955 -0.322099923568029 0.414465596024855 0 0 0 0
1 -0.323895568044391 -0.342637491501802 0.400894986935063 0 0 0 0
1 -0.303407554954827 -0.361915783394501 0.385285008202028 0 0 0 0
